Farme	Left	Top	Width	High	File
0	120	0	48	48	E:\剑网III项目相关\M7UI资源\系统栏\透明框.tga
1	170	48	46	46	D:\My Documents\J3 Work Group\界面编辑器\ui\Image\0iMainMeun0\t通用图素\z状态\z装备耐久度为零.tga
2	0	0	0	0	
3	63	60	44	44	E:\剑网III项目相关\M7UI资源\系统栏\悬停发光.tga
4	109	58	46	46	D:\My Documents\J3 Work Group\界面编辑器\ui\Image\0iMainMeun0\t通用图素\z状态\x响应鼠标_按下.tga
5	0	63	46	46	D:\My Documents\J3 Work Group\界面编辑器\ui\Image\0iMainMeun0\t通用图素\z状态\w物品_技能_禁用_红色.tga
6	0	209	48	48	E:\剑网III项目相关\M7UI资源\通用3\w物品_技能_缺少材料_黑色.tga
7	97	159	44	44	D:\My Documents\J3 Work Group\界面编辑器\ui\Image\0iMainMeun0\t通用图素\z状态\w物品_技能_选中.tga
8	157	96	46	46	D:\My Documents\J3 Work Group\界面编辑器\ui\Image\0iMainMeun0\t通用图素\z状态\w物品_技能_缺少材料_蓝色.tga
9	48	106	46	46	D:\My Documents\J3 Work Group\界面编辑器\ui\Image\0iMainMeun0\t通用图素\z状态\w物品_技能_选中_白色.tga
10	96	106	46	46	D:\My Documents\J3 Work Group\界面编辑器\ui\Image\0iMainMeun0\t通用图素\z状态\w物品_技能_选中_黄色.tga
11	0	111	46	46	D:\My Documents\J3 Work Group\界面编辑器\ui\Image\0iMainMeun0\t通用图素\z状态\z装备等级_橙.tga
12	144	144	46	46	D:\My Documents\J3 Work Group\界面编辑器\ui\Image\0iMainMeun0\t通用图素\z状态\z装备等级_蓝.tga
13	170	0	46	46	D:\My Documents\J3 Work Group\界面编辑器\ui\Image\0iMainMeun0\t通用图素\z状态\z装备等级_绿.tga
14	205	96	46	46	D:\My Documents\J3 Work Group\界面编辑器\ui\Image\0iMainMeun0\t通用图素\z状态\z装备等级_紫.tga
15	0	0	0	0	
16	0	0	0	0	
17	0	0	0	0	
18	0	0	0	0	
19	0	0	0	0	
20	0	0	0	0	
21	0	0	0	0	
22	0	0	0	0	
23	0	0	0	0	
24	0	0	0	0	
25	0	0	0	0	
26	0	0	0	0	
27	0	0	0	0	
28	0	0	0	0	
29	0	0	0	0	
30	0	0	0	0	
31	50	159	45	44	E:\剑网III项目相关\M7UI资源\秘籍\图标框小.tga
32	0	0	0	0	
33	0	0	0	0	
34	61	0	57	56	E:\剑网III项目相关\M7UI资源\秘籍\图标框大.tga
35	0	0	59	61	E:\剑网III项目相关\M7UI资源\秘籍\技能框.tga
36	0	159	48	48	E:\剑网III项目相关\M7UI资源\系统栏\内功图标底图.tga
37	50	205	48	48	E:\剑网III项目相关\M7UI资源\通用\信纸上图标格.tga
38	100	205	48	48	E:\剑网III项目相关\M7UI资源\背包\背包框架.TGA
39	192	144	55	55	E:\剑网III项目相关\M7UI资源\通用4\内功cd时间.TGA
40	150	201	50	50	E:\剑网III项目相关\M7UI资源\系统栏\内功高光.tga
41	218	0	48	48	H:\UI美术资源库\M9新UI资源\通用图素\任务框.tga
42	268	0	48	48	H:\UI美术资源库\M9新UI资源\通用图素\紫色框.tga
43	318	0	48	48	C:\Documents and Settings\huchangyin\桌面\蓝色框.tga
44	368	0	48	48	H:\UI美术资源库\M9新UI资源\通用图素\橙色框.tga
45	418	0	48	48	C:\Documents and Settings\huchangyin\桌面\2\COM_0011.tga
46	253	50	48	48	C:\Documents and Settings\huchangyin\桌面\2\COM_0000.tga
47	303	50	48	48	C:\Documents and Settings\huchangyin\桌面\2\COM_0001.tga
48	353	50	48	48	C:\Documents and Settings\huchangyin\桌面\2\COM_0002.tga
49	403	50	48	48	C:\Documents and Settings\huchangyin\桌面\2\COM_0003.tga
50	453	50	48	48	C:\Documents and Settings\huchangyin\桌面\2\COM_0004.tga
51	253	100	48	48	C:\Documents and Settings\huchangyin\桌面\2\COM_0005.tga
52	303	100	48	48	C:\Documents and Settings\huchangyin\桌面\2\COM_0006.tga
53	353	100	48	48	C:\Documents and Settings\huchangyin\桌面\2\COM_0007.tga
54	403	100	48	48	C:\Documents and Settings\huchangyin\桌面\2\COM_0008.tga
55	453	100	48	48	C:\Documents and Settings\huchangyin\桌面\2\COM_0009.tga
56	249	150	48	48	C:\Documents and Settings\huchangyin\桌面\2\COM_0010.tga
