index	name	r	g	b
0	black	0	0	0
1	white	255	255	255
2	gray1	207	207	207
3	gray2	173	173	173
4	gray3	150	150	150
5	gray4	99	99	99
6	gray5	69	84	75
7	gray6	40	40	40
8	yellow1	255	255	187
9	yellow2	255	255	0
10	yellow3	163	176	106
11	yellow4	96	96	0
12	yellow5	150	140	0
13	orange1	255	202	126
14	orange2	255	150	0
15	orange3	169	99	0
16	orange4	230	140	0
17	red1	255	126	126
18	red2	255	0	0
19	red3	169	0	0
20	red4	139	46	28
21	red5	220	30	0
22	purpre1	202	126	255
23	purpre2	185	38	210
24	purpre3	94	27	160
25	blue1	126	126	255
26	blue2	0	126	255
27	blue3	0	0	169
28	blue4	30	54	108
29	green1	126	227	163
30	green2	0	200	72
31	green3	0	132	47
32	green4	16	88	48
33	other	163	176	106
34	other2	146	222	95
35	purpre4	223	17	201
36	red6	239	55	12
37	blue5	30	104	254
38	yellow6	239	255	9
39	green5	76	223	21
40	gray7	38	38	38
41	yellow7	120	99	3
42	green6	4	209	182
43	green7	79	255	108
44	red7	255	0	18
